사업장명,도로명주소,위도,경도
의료법인한국의료재단한국병원,전라남도 순천시 우명길 42 (연향동),34.94771340782236,127.5093948377483
의료법인 우범의료재단 장흥종합병원,전라남도 장흥군 장흥읍 흥성로 74,34.677051534386656,126.90804461484531
전라남도강진의료원,전라남도 강진군 강진읍 탐진로 5,34.637409280602384,126.75390900801939
대송의료재단무안병원,전라남도 무안군 무안읍 몽탄로 65,34.99204109842963,126.4865684879085
포항성모병원,경상북도 포항시 남구 대잠동길 17 (대잠동),36.01652019569442,129.33683626989952
의료법인 덕산의료재단 김천제일병원,경상북도 김천시 신음1길 12 (신음동),36.13548114363043,128.11611338611576
경상북도안동의료원,"경상북도 안동시 태사2길 55 (북문동, 470)",36.56798351031025,128.72935036755248
의)근원의료재단 경산중앙병원,경상북도 경산시 경안로 11 (백천동),35.808719010946675,128.73629702548703
제일병원,경상남도 진주시 진주대로 885 (강남동),35.17934459607461,128.08731039264023
경상국립대학교병원,경상남도 진주시 강남로 79 (칠암동),35.177142842817375,128.0924995249562
의료법인 문병욱의료재단 진주고려병원,"경상남도 진주시 동진로 2 (칠암동, 진주고려병원)",35.17849588788604,128.08916023477235
한일병원,"경상남도 진주시 범골로 17, 한일병원 지하1 1~7층 (충무공동)",35.16673214631333,128.12574684137522
새통영병원,경상남도 통영시 무전7길 192 (무전동),34.865347064974735,128.41780154085708
의료법인갑을의료재단 갑을장유병원,경상남도 김해시 장유로 167-13 (부곡동),35.208635470583275,128.80272385377415
의료법인숭인의료재단 김해복음병원,경상남도 김해시 활천로 33 (삼정동),35.230614098575266,128.89031068524994
의료법인환명의료재단 조은금강병원,경상남도 김해시 김해대로 1814-37 (삼계동),35.262283508268105,128.85792368870716
강일병원,경상남도 김해시 가락로 359 (구산동),35.256273283368046,128.86701943026785
의료법인 성념의료재단맑은샘병원,경상남도 거제시 연초면 거제대로 4477,34.89769730560393,128.64072303299946
의료법인 거붕 백병원,경상남도 거제시 계룡로5길 14 (상동동),34.873276535370614,128.62354903886654
양산성모병원,경상남도 양산시 서창로 59 (명동),35.4064075171589,129.16159427027566
베데스다복음병원,경상남도 양산시 신기로 28 (신기동),35.353193092236246,129.04066420816446
양산부산대학교병원,경상남도 양산시 물금읍 금오로 20,35.3251518920107,129.0039464757926
의료법인 은혜와감사의료재단 화성중앙종합병원,경기도 화성시 만세구 향남읍 발안로 5,37.131352264048125,126.90798273077738
참조은병원,경기도 광주시 광주대로 45 (경안동),37.41097156951191,127.25731212635344
경기도의료원포천병원,경기도 포천시 포천로 1648 (신읍동),37.9031445184101,127.1945228447059
의료법인 일심의료재단 포천우리병원,경기도 포천시 소흘읍 호국로 661,37.82741389519246,127.14502176379892
창원경상국립대학교병원,"경상남도 창원시 성산구 삼정자로 11 (성주동, 창원경상대학교병원)",35.19948616515486,128.70469951298773
연세에스병원,경상남도 창원시 진해구 해원로32번길 13 (이동),35.154711107495814,128.69544127873243
